,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12/09/20_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04:37 PM_),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Record of: SOYBEANS    Commodity Code: 139  State:  North Dakota,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Stage: HARVESTED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,h:\groups\estimate\cropweat\booksect\soybeans.xls,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,April,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,May,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,June,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,July,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,August,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,September,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,October,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,November,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,December,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Year,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,1 ,2 ,3 ,4 ,5 ,6 ,7 ,8 ,9 ,10 ,11 ,12 ,13 ,14 ,15 ,16 ,17 ,18 ,19 ,20 ,21 ,22 ,23 ,24 ,25 ,26 ,27 ,28 ,29 ,30 ,31 
85 ,,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 , ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 , ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 , ,,,,,,0 ,0.1 ,0.3 ,0.4 ,0.6 ,0.7 ,0.9 ,1 ,2.1 ,3.3 ,4.4 ,5.6 ,6.7 ,7.9 ,9 ,10.7 ,12.4 ,14.1 ,15.9 ,17.6 ,19.3 ,21 ,22.4 ,23.9 ,25.3 ,26.7 ,28.1 ,29.6 ,31 ,34.3 ,37.6 ,40.9 ,44.1 ,47.4 ,50.7 ,54 ,57.9 ,61.7 ,65.6 ,69.4 ,73.3 ,77.1 ,81 ,83.0 ,85.0 ,87.0 ,89.0 ,91.0 ,93.0 ,95 ,95.7 ,96.4 ,97.1 ,97.9 ,98.6 ,99.3 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,,,,,,,,,,,,,,#,,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,,,,,,,#,#VALUE!,#VALUE!
86 ,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 ,,,,,,,0 ,0.1 ,0.3 ,0.4 ,0.6 ,0.7 ,0.9 ,1 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1.0 ,1 ,1.1 ,1.3 ,1.4 ,1.6 ,1.7 ,1.9 ,2 ,2.3 ,2.6 ,2.9 ,3.1 ,3.4 ,3.7 ,4 ,5.0 ,6.0 ,7.0 ,8.0 ,9.0 ,10.0 ,11 ,13.7 ,16.4 ,19.1 ,21.9 ,24.6 ,27.3 ,30 ,36.1 ,42.3 ,48.4 ,54.6 ,60.7 ,66.9 ,73 ,75.6 ,78.1 ,80.7 ,83.3 ,85.9 ,88.4 ,91 ,91.9 ,92.7 ,93.6 ,94.4 ,95.3 ,96.1 ,97 ,97.4 ,97.9 ,98.3 ,98.7 ,99.1 ,99.6 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,,,,,,,#,#VALUE!,#VALUE!,#VALUE!
87 ,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 ,,,,,,,0 ,0.1 ,0.3 ,0.4 ,0.6 ,0.7 ,0.9 ,1 ,1.4 ,1.9 ,2.3 ,2.7 ,3.1 ,3.6 ,4 ,5.6 ,7.1 ,8.7 ,10.3 ,11.9 ,13.4 ,15 ,18.1 ,21.3 ,24.4 ,27.6 ,30.7 ,33.9 ,37 ,42.0 ,47.0 ,52.0 ,57.0 ,62.0 ,67.0 ,72 ,74.9 ,77.7 ,80.6 ,83.4 ,86.3 ,89.1 ,92 ,92.9 ,93.7 ,94.6 ,95.4 ,96.3 ,97.1 ,98 ,98.3 ,98.6 ,98.9 ,99.1 ,99.4 ,99.7 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!
88 ,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 , ,,,,,,0 ,1.0 ,2.0 ,3.0 ,4.0 ,5.0 ,6.0 ,7 ,8.4 ,9.9 ,11.3 ,12.7 ,14.1 ,15.6 ,17 ,20.3 ,23.6 ,26.9 ,30.1 ,33.4 ,36.7 ,40 ,42.6 ,45.1 ,47.7 ,50.3 ,52.9 ,55.4 ,58 ,60.4 ,62.9 ,65.3 ,67.7 ,70.1 ,72.6 ,75 ,76.9 ,78.7 ,80.6 ,82.4 ,84.3 ,86.1 ,88 ,89.4 ,90.9 ,92.3 ,93.7 ,95.1 ,96.6 ,98 ,98.3 ,98.6 ,98.9 ,99.1 ,99.4 ,99.7 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,,,,,,,,,,,,,,,,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!
89 ,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 , ,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,0 ,,,,,,,0 ,0.1 ,0.3 ,0.4 ,0.6 ,0.7 ,0.9 ,1 ,1.6 ,2.1 ,2.7 ,3.3 ,3.9 ,4.4 ,5 ,6.9 ,8.7 ,10.6 ,12.4 ,14.3 ,16.1 ,18 ,22.3 ,26.6 ,30.9 ,35.1 ,39.4 ,43.7 ,48 ,53.0 ,58.0 ,63.0 ,68.0 ,73.0 ,78.0 ,83 ,84.7 ,86.4 ,88.1 ,89.9 ,91.6 ,93.3 ,95 ,95.6 ,96.1 ,96.7 ,97.3 ,97.9 ,98.4 ,99 ,99.1 ,99.3 ,99.4 ,99.6 ,99.7 ,99.9 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100.0 ,100 ,,,,,,,,,,,,,,,,,,,, ,#,,,,,,,#,#VALUE!,,,,,,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#
